,text,label
50,"Do tình hình tiêu thụ gặp khó khăn nên doanh thu chỉ thực hiện 79% kế hoạch và giảm 24% so với 2019. Con số lỗ sau thuế là gần 31 tỷ đồng, thấp hơn năm 2019 (lỗ 65 tỷ đồng) là nhờ Công ty tiết giảm đáng kể các khoản chi phí",Negative
51,"Lũy kế năm 2020, doanh thu thuần của CEO giảm 71% so với năm trước, còn gần 1,324 tỷ đồng. Lãi gộp giảm 75%, xấp xỉ 358 tỷ đồng. Cả năm 2020, CEO báo lỗ ròng hơn 67 tỷ đồng. Đây cũng là lần đầu tiên CEO báo lỗ kể từ khi niêm yết trên sàn HNX vào năm 2014",Negative
52,"Bảo hiểm Bảo Long lại lỗ quý 4
Kể từ năm 2016-2020, Tổng CTCP Bảo hiểm Bảo Long (UPCoM: BLI) đều báo lỗ trong quý 4. Kỳ này, Công ty lỗ ròng hơn 45 tỷ đồng, trong khi cùng kỳ năm trước lỗ hơn 61 tỷ đồng",Negative
53,"DBD cho biết sau khi đánh giá tổng quan bối cảnh hoạt động sản xuất kinh doanh trong năm 2021 vẫn còn khá nhiều khó khăn, thách thức về dịch bệnh, chính sách, thị trường cạnh tranh ngày càng gay gắt.",Negative
54,"Tương tự PLX, nhóm doanh nghiệp ngành dầu khí nhìn chung đều không thoát khỏi gọng kìm của tác động kép trong năm 2020: Giá dầu thấp và dịch Covid-19. Như trường hợp của CNG Việt Nam (HOSE: CNG), dù sản lượng và doanh thu năm 2020 lần lượt tăng 16% và 8% so với năm 2019, song lãi sau thuế vẫn giảm 39%, ước tính chưa tới 52 tỷ đồng",Negative
55,"Ngược lại, Xây dựng Coteccons (HOSE: CTD) báo doanh thu và lợi nhuận đồng loạt đi lùi so với năm trước, xuống còn 14,597 tỷ đồng và 463 tỷ đồng. So với kế hoạch, nhà thầu xây dựng này đã thực hiện được 91% và 98% kế hoạch năm 2020. Ban lãnh đạo CTD cho rằng kết quả đã phản ánh trung thực và hợp lý về hoạt động của Công ty trong một năm thực sự khó khăn. Dịch bệnh khiến hoạt động xây dựng phải tạm dừng, dẫn đến nhiều công trình triển khai chậm so với kế hoạch. Việc siết chặt thủ tục cấp giấy phép xây dựng cũng làm thị trường bất động sản đóng băng, số lượng dự án mới nhỏ giọt nên mức độ cạnh tranh khốc liệt hơn",Negative
56,"Năm 2020, doanh thu thuần của MCH tăng hơn 26% so với năm 2019, đạt 23,243 tỷ đồng. Lãi sau thuế đạt hơn 4,633 tỷ đồng, tăng 14% so năm trước, vượt ngưỡng tối thiểu 4,600 tỷ đồng theo kế hoạch mà Công ty đề ra",Positive
57,"Kể từ tháng 8 năm 2017, giá cổ phiếu TVC nhìn chung đã duy trì một xu hướng tăng khá mạnh, nếu so sánh những nhịp giảm đan xen thường rất nhỏ so với những nhịp tăng. Cho đến giai đoạn Covid-19, cổ phiếu TVC đạt mức đỉnh điểm giao dịch tại 34,100 đồng/cp trước khi chuyển qua giai đoạn lao dốc mạnh trong vòng khoảng một tháng về vùng dưới cả mệnh giá",Neutral
58,"“Virus biến chủng mới che mờ các dự báo năm 2021”
Về năm 2021, khối phân tích SSI Research nhận định bức tranh ngành hàng không sẽ cải thiện đáng kể khi thế giới bắt đầu triển khai tiêm vắc-xin ngừa Covid-19 rộng rãi cho người dân. Nhóm phân tích này cho rằng thị trường nội địa nhiều khả năng sẽ vẫn là trọng tâm của các hãng hàng không trong năm 2021, do các chuyến bay quốc tế chỉ có thể được hoạt động từ nửa cuối năm. Thị trường quốc tế sẽ phục hồi thực sự từ năm 2022",Neutral
59,"Được biết, Thaco chỉ mới mua vào 59.63 triệu cp HVG trong khoảng thời gian từ ngày 27/03 - 25/4/2020 nhằm đầu tư tài chính",Neutral
60,"Cổ phiếu ACM bắt đầu tăng từ giữa tháng 12/2020 và quay đầu giảm ngay sau khi đạt đỉnh lịch sử trong phiên 26/01/2021. Lưu ý, cổ phiếu ACM hiện đang nằm trong diện đang bị kiểm soát. Đầu phiên 22/02, giá cổ phiếu ACM đang được giao dịch ở mức 1,500 đồng/cp, giảm gần 32% so với đỉnh lịch sử cuối tháng 1/2021",Negative
61,"Trái lại, nợ phải trả  tăng 16% so với đầu năm, lên mức gần 246 tỷ đồng, chiếm 44% tổng tài sản chủ yếu là do phải trả người bán ngắn hạn tăng đến 86%, lên mức gần 105 tỷ đồng.  
Khang Di
FILI",Neutral
62,"Cùng cảnh ngộ, 4 quý lỗ liên tiếp đã đánh gục lợi nhuận của doanh nghiệp nằm trong top đầu thị phần kinh doanh taxi. Trong khi năm trước doanh nghiệp này báo lãi gần 109 tỷ đồng thì năm 2020, Ánh Dương Việt Nam (Vinasun, HOSE: VNS) “chở lỗ” hơn 207 tỷ đồng. Theo VNS, nguyên nhân chủ yếu là do ảnh hưởng kéo dài của dịch Covid-19 làm cho doanh thu dịch vụ taxi sụt giảm mạnh. Đáng chú ý, số lượng nhân viên tính đến ngày 31/12/2020 là 4,398 trong khi đầu năm ghi nhận 5,790 nhân viên. Như vậy, trong năm 2020, VNS đã cắt giảm 1,392 nhân viên",Negative
63,C32 và NNC đều đang gặp vấn đề ở các mỏ khai thác ,Negative
64,"Ngày 03/04/2014, SGDCK Tp.HCM đã có quyết định số 142/QĐ-SGDHCM về việc đưa cổ phiếu Công ty Cổ phần Đầu tư Alphanam (mã CK: ALP) vào diện kiểm soát kể từ ngày 11/04/2014.-  Lý do: lợi nhuận sau thuế của cổ đông công ty mẹ năm 2012 là -144,86 tỷ đồng và lợi nhuận sau thuế của cổ đông công ty mẹ năm 2013 là -205,97 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2012 và năm 2013, thuộc trường hợp chứng khoán bị kiểm soát theo quy định tại Điểm b Khoản 1.1 Điều 16 Quy chế niêm yết chứng khoán tại Sở Giao dịch Chứng khoán Tp. Hồ Chí Minh ban hành kèm theo Quyết định số 10/QĐ-SGDHCM ngày 13/01/2014.- Cổ phiếu ALP sẽ bị tạm ngừng giao dịch kể từ ngày 11/04/2014.  Căn cứ giải trình của Công ty, Sở Giao dịch Chứng khoán sẽ thông báo về việc cổ phiếu được giao dịch trở lại dưới dạng chứng khoán bị kiểm soát.",Negative
65,"Trong phiên 29/03, lượng khớp lệnh gần 19 triệu cổ phiếu đã kéo SHB từ giá 19,700 (tăng 1.03% so với tham chiếu) lên mức 21,400 đồng/cp (tăng gần 9.8% so với tham chiếu)",Positive
66,"Kế hoạch phát triển trong tương lai, HNR định hướng tiếp tục cân đối sản xuất theo thực tế tiêu thụ, giảm thiểu hàng tồn, nghiên cứu, cải tiến sản phẩm đáp ứng nhu cầu người tiêu dùng. Công ty dự kiến sẽ làm việc với đối tác Diageo về gia công sản phẩm rượu (cho Diageo) như những năm 2013-2016. Ngoài ra, HNR định hướng triển khai đánh giá chỉ tiêu OEE tại nhà máy",Neutral
67,"Trong quý 4/2020, doanh thu thuần của CEO giảm 54% so với cùng kỳ năm trước, còn gần 642 tỷ đồng. Lãi gộp theo đó giảm 60%, còn hơn 145 tỷ đồng",Negative
68,"Trong năm 2021, chiến lược của các hãng hàng không có thể sẽ tập trung tối đa hóa thị trường nội địa bằng cách mở thêm đường bay, cung cấp nhiều dịch vụ giá trị trên chuyến bay và tạo ra nhiều sự lựa chọn về giá hơn cho hành khách, SSI Research cho hay",Neutral
69,"Mặt khác, Thủy điện Vĩnh Sơn - Sông Hinh (HOSE: VSH), công ty liên kết mà PGV nắm 30.55% vốn tại cuối năm 2019, đã chuyển lỗ thành lãi trong quý 3 này. Cụ thể, VSH báo lãi ròng quý 3/2020 gần 30 tỷ đồng trong khi cùng lỗ 4 tỷ đồng. VSH cho biết tình hình thủy văn quý 3 năm nay thuận lợi hơn, lưu lượng nước về hồ chứa của các nhà máy nhiều hơn cùng kỳ giúp sản lượng gia tăng",Positive
70,"Theo đánh giá của Tiến sĩ Hồ Quốc Lực - Chủ tịch FMC, Covid-19 đã tạo cơ hội tốt cho tôm Việt. Chính phủ Việt Nam phòng chống Covid-19 cực tốt, không bị gãy đổ trong nền kinh tế. Tôm nuôi an toàn, sản lượng tăng hơn năm 2019, dù chỉ một con số. Trong khi đó, các cường quốc nuôi tôm khác bị Covid-19 tác hại nặng nề, gián đoạn hoặc gãy đổ chuỗi cung ứng nuôi tôm, nên sản lượng tôm nuôi các nước này đều giảm như Ấn Độ, Ecuador, Indonesia… Giảm cung nên tiêu thụ tôm thuận lợi hơn, tuy nhiên, Covid-19 cũng tấn công thu nhập người lao động nên giá cả tiêu thụ chỉ ở mức trung bình",Positive
71,CTCP Dịch vụ Ô tô Hàng Xanh (HOSE: HAX) cũng chịu ảnh hưởng trực tiếp khi Nghị định về giảm 50% mức lệ phí trước bạ cho xe hơi lắp ráp trong nước được Chính phủ ban hành đã hết hạn từ 31/12/2020,Negative
72,"Vài năm gần đây, BIDV trở thành ngân hàng bán nhiều nợ xấu nhất. Nhiều tài sản, khoản nợ đã được nhà băng này rao bán nhiều lần nhưng đến nay vẫn chưa có người mua",Negative
73,"Mới đây, Bộ Tài chính Mỹ một lần nữa cảnh báo Việt Nam thao túng tiền tệ, khi định giá đồng VNĐ thấp hơn 4.7% so với USD trong năm 2019. Đáng lưu ý, một trong những cơ sở của cáo buộc này là việc Chính phủ đã can thiệp vào thị trường ngoại hối bằng cách mua USD hơn 2% GDP, với con số mua vào lên đến 22 tỷ USD trong năm 2019",Negative
74,"Tuy nhiên, vẫn còn đó những mối đe dọa có thể bẻ gãy đà hồi phục của ngành hàng không. Dịch bệnh Covid-19 vừa bùng phát trở lại với tâm chấn Hải Dương vào cuối tháng 1/2021. Tính từ ngày 28/01 tới nay, Việt Nam ghi nhận 329 ca nhiễm cộng đồng ở 10 tỉnh thành và đáng ngại hơn, nhiều ca được ghi nhận là đã nhiễm biến chủng mới của virus corona",Negative
75,"Hoạt động tài chính hỗ trợ cải thiện lợi nhuận
Với lãi ròng 9 tháng đầu năm 2020 đạt gần 173 tỷ đồng, gấp 3.5 lần cùng kỳ, Bảo hiểm Bưu điện (PTI) dẫn đầu nhóm doanh nghiệp bảo hiểm có tốc độ tăng trưởng lợi nhuận mạnh nhất",Positive
76,"Tài sản đảm bảo nợ xấu nằm chờ đến bao giờ?
Từ đầu năm 2021 đến nay, các ngân hàng lớn liên tục rao bán tài sản đảm bảo để thu hồi nợ. Thế nhưng, nhiều tài sản đảm bảo đã được hạ giá nhiều lần nhưng vẫn chưa thể xử lý được",Negative
77,"Mua HII, nắm giữ NHH 
APH còn có 2 công ty con khác cũng đang niêm yết trên sàn HOSE là CTCP An Tiến Industries (HOSE: HII) và CTCP Nhựa Hà Nội (HOSE: NHH)",Neutral
78,"Tiến độ thực hiện kế hoạch lợi nhuận năm 2020? 
Trước tác động của dịch Covid-19, đa phần các doanh nghiệp bảo hiểm đều khá thận trọng khi đề ra kế hoạch lợi nhuận đi lùi cho năm 2020, song, vẫn có doanh nghiệp đặt mục tiêu tăng trưởng và đã vượt kế hoạch sau 9 tháng",Neutral
79,"Dẫn đầu về tỷ lệ tăng trưởng chính là EVN Quốc tế (UPCoM: EIC) với lãi ròng gấp 89 lần cùng kỳ, đạt hơn 28 tỷ đồng. EIC đã thực hiện nhiều hoạt động tư vấn giám sát (TVGS) công trình điện trong quý 3, lợi nhuận từ hoạt động TVGS đạt 3.2 tỷ đồng, tăng 5 lần so cùng kỳ. Đáng kể là khoản thu tài chính đạt gần 36 tỷ đồng, tăng 25 lần nhờ việc Công ty TNHH Dự án thủy điện Hạ Sê San 2 đã thanh toán cổ tức đợt 1",Positive
80,"Với VIB, các năm trước NHNN cũng giao chỉ tiêu lần đầu thấp, nhưng sau đó phụ thuộc vào mức độ lành mạnh, chất lượng tín dụng, tính tuân thủ, quản trị minh bạch của VIB mà có sự thay đổi. Các năm qua, VIB đặt mục tiêu tăng trưởng tín dụng 23 - 30% và đều đạt được, ông Vỹ lý giải thêm",Neutral
81,"Phân tích kỹ thuật phiên chiều 01/04: VN-Index tạm dừng ở trên vùng đỉnh lịch sử
Trong phiên giao dịch buổi sáng ngày 01/04/2021, VN-Index tạo mẫu hình nến White Closing Marubozu. Chỉ số tạm dừng ngay bên trên vùng kháng cự lịch sử 1,180-1,210 điểm chứng tỏ tình hình đang rất khả quan. Khối lượng giao dịch tăng cao trong phiên sáng cho thấy dòng tiền vẫn đang khá mạnh mẽ",Positive
82,"*Đại gia phố núi: Những dấu chấm hỏi lớn trước thềm ĐHĐCĐ thường niên 2021
Duy Na 
FILI",Neutral
83,"
Theo thông tin ban đầu, khoảng 12 giờ trưa 15.3, người đàn ông mặc đồng phục một hãng xe ôm công nghệ bất ngờ xông vào phòng giao dịch của Ngân hàng thương mại CP Đầu tư và Phát triển Việt Nam (BIDV) tại địa phận TT.Phúc Thọ (H.Phúc Thọ), nhằm cướp tài sản",Neutral
84,Diễn biến giá cổ phiếu Cc4 trong 1 năm gần đây.,Neutral
85,"Những khác biệt trong thứ hạng doanh thu giữa các doanh nghiệp trong năm 2019 và 2020 làm nổi bật những tác động mà đại dịch Covid-19 mang lại cho nền kinh tế. Trong đó, phần lớn doanh nghiệp đều chứng kiến doanh thu thuần suy giảm so với cùng kỳ, phần lớn là vì dịch bệnh và những câu chuyện riêng của từng doanh nghiệp",Neutral
86,"Nợ phải trả cuối năm của BSQ ghi nhận gấp gần 2 lần đầu năm, đạt hơn 501 tỷ đồng. Nguyên nhân chủ yếu đến từ các khoản vay ngân hàng phát sinh trong kỳ khi riêng khoản này đã chiếm hơn 216 tỷ đồng, tăng gấp 1.3 lần. ",Neutral
87,"Suy yếu lợi nhuận quý 3 nhiều nhất  chính là Dược Trung ương Mediplantex (HNX: MED) với tỷ lệ giảm 81% lãi ròng. Do ảnh hưởng của dịch Covid-19 đã dẫn đến tình hình cung ứng và tiêu thụ sản phẩm gặp nhiều khó khăn, doanh thu thuần trong kỳ giảm 29%. MED chia sẻ rằng các nhà phân phối gia công, cắt lô sản phẩm của Công ty cũng sụt giảm doanh số ở mức lớn, hệ thống phân phối 3 miền không đạt nhiều kết quả khả quan",Negative
88,"Trước đó trong ngày 10/03, ARIL và FBIL đã bán lần lượt 50.41 triệu cp và 49.64 triệu cp. Tổng cộng 2 thành viên này đã bán 100.1 triệu cp ACB. Theo đó,  ARIL và FBIL vẫn còn sở hữu lần lượt 3.89 triệu cp ACB (0.18%) và 3.87 triệu cp ACB (0.18%)",Neutral
89,"Ngày giao dịch không hưởng quyền là 18/02/2021, cổ tức dự kiến sẽ thanh toán vào 31/03/2021. Với gần 232 triệu cp đang lưu hành, BHN cần chi ra tổng cộng 656 tỷ đồng để thực hiện. Đa phần trong đó sẽ về tay cổ đông Nhà nước khi Bộ Công Thương nắm gần 82% sở hữu tại doanh nghiệp nước giải khát này",Neutral
90,"Trong năm 2020, dòng tiền thuần từ hoạt động kinh doanh của DHC dương hơn 453 tỷ đồng, tăng 16% so với cùng kỳ năm trước. Trong đó, tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác đạt gần 2,954 tỷ đồng, tăng 78%, nhưng tiền chi trả cho người cung cấp hàng hóa và dịch vụ lại gấp 2.07 lần năm trước, chiếm gần 2,183 tỷ đồng",Positive
91,"Hiện, giá cổ phiếu CEO đang “lao dốc” mạnh sau lần đạt đỉnh trong phiên 05/01, đang giao dịch quanh mức 9,300 đồng/cp (10h18p), giảm 29% so với lần lập đỉnh",Negative
92,"Các doanh nghiệp trên đều là thành viên của CTCP Tập đoàn Pan (HOSE: PAN). Theo kế hoạch, PAN và 7 công ty thành viên đang niêm yết tại HOSE (gồm NSC, BBC, VFG, FMC, ABT, LAF, SSC) sẽ chuyển giao dịch cổ phiếu sang HNX nhằm giảm tải áp lực hệ thống của HOSE. Các cổ phiếu này sẽ quay về HOSE khi hệ thống “mượt mà” trở lại",Neutral
93,"Nhà đầu tư có thể cho mã này vào danh mục của mình để quan sát. Nếu giá cổ phiếu có thể bứt phá hoàn toàn vùng kháng cự 29,500-31,000 thì nhà đầu tư có thể mua vào với mục tiêu dài hạn tại vùng 40,000-42,000 (ngưỡng Fibonacci Retracement 161.8%)",Neutral
94,"Trưởng BKS AFX bị xử phạt vì báo cáo kết quả giao dịch chậm trễ
Ngày 08/3/2021, Thanh tra Ủy ban Chứng khoán Nhà nước (UBCKNN) có quyết định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán đối với bà Trần Kim Uyên - Trưởng BKS CTCP Xuất nhập khẩu nông sản thực phẩm An Giang (UPCoM: AFX)",Negative
