review,category,score,vui chơi,lưu trú,nhà hàng,ăn uống,vận chuyển,mua sắm
Hihi mình thấy tự hào về vịnh hạ long vì nó đã đưa hình ảnh của việt nam ra thế giớ để mở rộng hơn nữa cánh cửa hội nhập của việt nam Đây cũng là nguồn thu rất lớn cho nghành du lịch nước nhà đây thì khỏi phải nói cảnh đẹp mê li bãi biển trong xanh không khí thoáng mát mình đi hạ long từ hồi còn nhỏ xíu cho đến tận bây giờ vẫn thích đi vì nó ngày càng đẹp giống như người con gái trưởng thành đang ở độ tuổi nở hoa đến đây thì được ăn rất nhiều hải sản ngon và tươi tuy nhiên giá thì hơi đắt đỏ Nếu đến đây mà không quen biết không quen mặc cả thì sẽ bị những ngươi bán hàng biến thành con gà và chặt chém nói chung là vẫn thích đi. không có gì bân thì mỗi năm gia đình mình lại đi một lần vào đâu mùa hè,travel,7.6,5,0,0,5,0,0
"1. Thức ăn Bình thường, không đặc sắc, thua kém ngày trước mình ăn. Riêng Vịt Quay vẫn ngon như ngày nào. 2. Khách ăn uống, nhân viên phục vụ tụm lại nói chuyện. Mặt nhân viên nữ trông hơi lớn tuổi hơn các nhân viên nữ khác hay nhăn, căng thẳng. Nếu mình là quả n lý mình sẽ đuổi việc ngay nếu bạn đó không thay đổi. Xin lỗi, các bạn đang phục vụ cho 1 xuất ăn không phải rẻ, với chất lượng phục vụ vỉa hè! Ngày trước mình đi ăn, nhân viên phục vụ khá dễ thương và chuyên nghiệp. Không gian ăn đã hơi ảm đạm, nên mong nhân viên vui vẻ, phấn khởi. Các bạn không thể biết là đang phục vụ ai đâu. Nếu phục vụ tốt, biết đâu trong hôm đó bạn được thăng chức hoặc luân chuyển công việc với mức lương và thăng tiến hấp dẫn hơn. Chúc may mắn!",travel,5.6,0,0,0,3,0,0
"Lâu lâu đổi gió chạy xa xa đi mấy khu nghĩ dưỡng này thích lắm các bạn. Đi hơi xa, chạy xe máy mất tầm 30 là nhanh. Nhưng đây thật sự là 1 resort sang trọng và hấp dẫn. Nói về khung cảnh thì thật sự rất trong lành, thiên nhiên có nhiều cây xanh. Phục vụ cực chuyên nghiệp. thân thiện, dễ thương lắm. Tụi mình được bác lái xe chở đi xung quanh xem nữa. Đồ uống ở đây mắc. Sinh tố tầm hơn 100k 1 ly nhưng mình thấy không ngon. Chắc tại hơi kén. Có đầy đủ các phòng cho mình thư giãn. Nơi đây thật yên bình và đáng đến!!!",travel,8.2,5,5,0,4,0,0
"KHÔNG GIAN Quán cháo gà này mình thấy mở lâu lắm rồi, chắc cũng được mấy năm. Quán này thực ra cô chủ quán chỉ căng bạt lên, sắp xếp vài cái bàn ghế nhựa con con trên vỉa hè, thế là thành quán thôi chứ cũng không có mặt bằng gì cả. Cô dọn bán bắt đầu từ 5h chiều đến tối muộn lận. CHẤT LƯỢNG Cháo gà ở đây mình thấy hơi đặc, cá nhân mình thì thấy cháo loãng hơn chút mới ngon. Thịt gà ta chắc và ngon, nếu muốn ăn thịt đùi thì dặn cô chứ vô kêu tô cháo gà là cô chủ yếu xé cho phần ức đó Gà bóp ở đây hơi khác ở nhà làm chút xíu đó là ở đây bóp hành tây, vị cũng ok nhưng mình thấy bóp lá chanh vẫn đúng vị hơn!! GIÁ CẢ không quá cao, 25K tô. DỊCH VỤ cô chủ vui vẻ, thân thiện.",foods,7.2,0,0,0,4,0,0
"Đây là một trong những khu du lịch về suối mà mình thích cực kì luôn. Vì đợt mình đi thì thấy ở đây vẫn còn khá tự nhiên, dòng chảy của suối chưa bị ngăn chia thành từng ô nhiều nên thấy khá là thích. Nước ở đây trong xanh cực kì, nhìn vừa đã mắt mà vừa mát rười rượi luôn. Đi lên phía trên còn có cầu treo với mấy di tích cũ nữa. Mà đường đi vào suối cũng khá là đẹp.",travel,8.6,5,0,0,0,0,0
"Ăn bị say bột ngọt, nhân viên chảnh chẹ nói chuyện không thân thiện. Mình đi 2 ng. Tự đem lẩu 200k ra luôn và không đưa menu cho xem gi het.",foods,4.4,1,0,0,1,0,0
"Buổi chiều với buổi tốt ở đây cực vui luôn với nhiều hoạt động khác nhau của mọi người Dạo gần đây còn là mùa diều nên nơi đây là một nơi khá thích hợp để thả diều. Chiều chiều mà chạy xuống đây thì sẽ nhìn thấy cảnh diều bay ngợp trời luôn. Ngoài ra, nơi đây được một ưu thế lớn là nằm gần chợ đêm nên khá nhiều người ghé chợ đêm mua đồ ăn rồi vào công viên để đi dạo. Hơn nữa, một số hoạt động buôn bán như the box market cũng thường diễn ra ở đây.",travel,8.0,5,0,0,0,0,0
"Quán mới khai trương ngay gần nhà nhé, nhạc nhẽo ầm ĩ cả ngày Do là quán trà sữa hãng đầu tiên về Uông Bí nên khá đông các bạn trẻ đến check in luôn. Tuy nhiên phục vụ hơi chậm. Mình gọi hoKaido mà 1 lúc mới có. Không gian trong nhà hơi nhỏ, tuy nhiên có ngồi cả vỉa hè nhé. Mà đây là lần đầu tiên uống Mr. GOd tea luôn. Thấy cũng được",foods,7.2,0,0,0,4,0,0
"Mùa hè ra đây nghỉ ngơi là tuyệt nhất, chỉ 1h đi ô tô từ Đn đường xá có hơi khó tìm 1 chút, đi vào buổi tối thì càng ghê hơn tuy nhiên resort quá đẹp, khu này gồm có 2 resorts Banyan TrE theo kiểu viLa, Angsana theo kiểu căn hộ và sân golf 18 hố cùng dãy biệt thự đồi. Mình thích ở Angsana hơn vì thích hệ thống hồ bơi dài 300m ở đây. Khu này có 6,7 nhà hàng để mình chọn Thái, Ý, Nhật, inter, seafOd, local... Nhân viên từ lễ tân đến phục vụ thân thiện nhanh nhẹn.",beauty,8.0,5,5,0,5,0,0
"Không gian thoải mái, chất lượng phục vụ ổn",entertain,5.0,4,0,5,0,0,0
Quán mình còn mở k,foods,5.0,0,0,0,0,0,0
"Ai từng ở hay đến bmt thèm ăn bánh canh cá mà không bít chổ này là chưa đi đúng chổ rồi hi , ăn từ hồi quán được mấy cái bàn ở vỉa hè giờ mở to và rộng hơn rồi",foods,8.8,0,0,0,4,0,0
"Đến đây từ hồi mới khai trương khu vui chơi Dóo. Xong hôm nọ nhỏ bạn thân lại rủ qua đây chơi. Gọi là tổ hợp giải trí lên đến 20 tầng mà chỗ ăn chỗ chơi được chưa đến 10 tầng. Thú thực mình không thích thú lắm vì ngoài DÓO ra thì chả có chỗ nào để chơi nữa. Mà các quán ăn cũng ít, giá thành lại cao. Không ngồi cafe thì chỉ có lên tầng 4 vào mấy quán của golden gate thôi. Hầm để xe trần thấp, đường đi xuống quá dốc. Đi không vững tay lái rất nguy hiểm. Được cái sân bên ngoài khá nghệ thuật. Cầu thang bên ngoài buổi tối được bật đèn, thấy chụp ảnh check in ở đấy cũng khá đẹp.",entertain,7.2,3,0,0,0,0,0
"Tiệm nail thật là chanh sả, mấy cái ghế ngồi như bà hoàng vại đó, đi mần đẹp cũng cho xứng tầm Thợ nail có tâm, làm tỉ mỉ, giá sơn gel 89k Bên cạnh tiệm có chỗ mua phụ kiện nail nữa, trên lầu thì dạy học viên làm nail các kiểu",beauty,8.2,0,0,0,0,0,0
"Mình mới về tệ ec sống , và có ghé quán ăn thử 1 lần , 80k 1 tô mắc hơn sg nhưng ngon thì chỉ mức trung bình , chắc sẻ không có lần nữa .",foods,6.0,0,0,0,4,0,0
"Đa dạng kem Hàn Quốc nhé, mình mới ăn thử kem ốc quế Hàn Quốc có 3 vị dâu, socola, caramel masharo. Thì vị hơi ngọt, không ngon lắm, được cái kem to, giá khá cao, hơn 30k cơ. Hình thức đẹp. Ngoài ra còn có các loại kem khác kem cá, kem matcha trà xanh, các loại kem hàn quốc. Tha hồ đứng chọn, mua nhanh, thanh toán nhanh, nhân viên thân thiện, tận tình, mà giá còn rẻ hơn so với mua bên ngoài nhé. Hợp với mùa hè, nên ăn thử nha, mát lạnh mùa hè.",shop,7.4,0,0,0,5,0,0
Hòn phụ tử ơi hòn phụ tữ à nơi đây sao đẹp quá vậy nè mình thích quá nè. Vì bên cạnh đó có vài cãnh đẹp nhưng có vẻ mất vệ sinh quá à,travel,8.0,4,0,0,0,0,0
"Bên này bán nhiều đồ ngon nè. Quán nhỏ nhỏ thôi mà từ chè, bánh ngọt, trà sữa. Mình khá thích, vị ngon ngọt vừa. Bánh ngọt thơm. Chủ yếu gọi giao hàng là nhiều",foods,8.0,0,0,0,5,0,0
"Người ta nói Đừng bao giờ đi ăn một mình nên mình khá ngại 1 mình đến quán ăn hay phải ngồi đợi để mua về Trọ lại không nấu ăn nên gần như ngày nào mình cũng dùng dịch vụ của Now, có ngày 3 4 đơn hàng Đây là một trong rất nhiều đơn hàng mình được Now tặng code, những ly trà sữa này cũng là một trong những ly nữa mình đặt qua Now giá rẻ! Những ngày khuyến mãi lớn dịch vụ có hơi quá tải hoặc đợi lâu xíu nhưng mình thấy không sao cả, mấy bạn đi mua hàng sale cũng bon chen, xếp hàng dài cổ mới mua được, còn đây ngồi điều hoà mát mẻ đợi xí xi thôi! Mình thích Now không chỉ ưu đãi lớn mà dịch vụ chuyên nghiệp, dễ thương lắm, cả tổng đài với shiPer luôn! Mình có sẵn Airpay nên được frEship 15k, ở nhà giao tận nơi lại được frEship, hài lòng lắm!",shop,8.6,0,0,0,0,0,0
"đi siêu thị này, mình thấy như đi du lịch nước ngoài vậy",shop,8.6,0,0,0,0,0,2
"Đã Từng đến đây khám rồi, nhân viên ở đây rất nhiệt tình, trang thiết bị hiện đại",beauty,10.0,5,0,0,0,0,0
Siêu thị hàn này là mở đầu tiên ở vinh luôn. Mình thấy là ở đây là nhiều thứ hàng hoá đa dạng nhất trong tất cả các siêu thị hàn ở vinh. Giá cả thì mỗi siêu thị cứ chênh nhau không đáng kể nhưng giá ở đây cảm thấy rẻ nhất í. Bước vào là ngập mặt trong đủ loại hàng hoá luôn. nhìn cái gì cũng muốn hốt cả í. Chủ quán cũng tư vấn rất nhiệt tình. Mình cần mua gì hay làm gì họ đều tư vấn kĩ càng cho cả nà.Mỗi tội hơi xa nhà mình xí thoai.,shop,7.6,0,0,0,0,0,5
"Một buổi sáng đẹp trời đi tập thể dục với nhỏ bạn nên tình cờ đi ngang qua công viên này. Vị trí nằm ở cái chỗ mà người dân Cần Thơ gọi là bãi cát, từ sân vận động chạy đến bờ sông 1 tí là thấy ngay à. Không gian khuôn viên công viên khá rộng trải dài theo con sông luôn. Buổi tối ở đây thường vui lắm, vì có chợ đêm kế bên nên lúc nào cũng nhộn nhịp, vui tươi. Có nhiều người cho thuê thú cưỡi hay là whEl nên các bạn trẻ hay ghé đây chơi đùa. Đây là cũng không gian lãng mạn cho nhiều cặp tình nhân.",travel,8.0,5,0,0,0,0,0
"Mình được chị sếp dắt qua đây ăn trưa cơm phần 59K ng với rau củ quả và trái cây, chè tráng miệng miễn phí. Tụi mình 7 người ăn 7 phần cơm với thêm mấy món gọi thêm thành 1 bàn hoành tráng chưa quá 600k có luôn thuế thật là thích. Điểm trừ duy nhất là phần ăn không bao gồm nước và giá nước khá cao. Tuy nhiên do mải tám chuyện, ăn rau với tráng miệng nên cả đám chưa ai gọi nước tới khi ăn xong mới nhận ra. Khi bàn được dọn gần hết thì nước ngâm sả chanh miễn phí được phục vụ thiệt là đỡ tốn He .",travel,10.0,0,0,0,5,0,0
"Mình đến đây từ khi mới mở cửa khai trương luôn, đông đúc lắm ý, nhất là khi có các chương trình sale lễ tết hay black friday và cuối tuần ngày nghỉ. Có hồ cá đẹp lắm nha, nhiều cá với các màu khác nhau, cùng là cá chép thôi. Ngoài ra còn có cả nhạc nước vào 8h thứ 2,4,6 nữa. giá vé gửi xe dưới hầm là 2k trước 18h sau đó là 3k đến 1h30 đêm. Ngoài ra bên trên có các nhà hàng, cửa hàng nữa nha, nhưng bất tiện là vẫn phải gửi xe xuống dưới hầm mới mua được.",shop,7.0,0,0,0,0,0,0
"Nhà hàng này khá lớn và nổi tiếng luôn nên tương đối đông khách. Mình cũng chưa có điều kiện trải nghiệm hết dịch vụ và chưa thử hết mọi món chính của nhà hàng nên vẫn ấp ủ lần sau nhất định quay lại thử xem sao Nhậnx ét sơ qua của mình là menu ở đây khá đa dạng, món ă ntừ Bắc chí Nam món nào cũng có nhất là những món đặc sản vùng miền thì thôi rồi là nhiều Thêm nữa thì mấy món được mang ra trông ngon mắt lắm lắm mình có nếm thử vài món thì mặc dù hương vị lạ nhưng đôi món vẫn cảm thấy hương vị chưa chuẩn cho lắm điều này cũng khó tránh vì giỏi nhieuf thứ quá lạidđâm không chuyên được cái nào Không gian ở đây lịch lãm và trang trọng, thích hợp tiếp khách nước ngoài hoặc bàn chuyện công việc, đặc biệt nhân viên nhanh nhẹn chuyên nghiệp và đồ ăn thì được vệ sinh rất sạch sẽ, ăn yên tâm",wedding,7.4,0,0,0,4,0,0
"Ngon, pvu nhanh, nhiệt tình. Quán ruột luôn T thích mì cay ở đây lắm. Nước dùng ngọt ngon nghiện. K phải mùi bột ngọt khó ăn đâu. Nước hầm chuẩn lun ạ. Giá cực ổn bát mì 25k 35k hoy còn có cơm phần, takoyaki,kimbap, xúc xích.. nói chung ở đây là địa điểm khá quen với các bạn học sinh",foods,8.6,0,0,0,5,0,0
"Thức ăn ngon, vừa miệng, phục vụ các món theo 246 357. Sữa chua đá cà phê ngon và lạ miệng. Cà phê thơm ngon nhưng hơi đắng, thêm đường thì ok. Phòng ốc khá sạch sẽ, gọn gàng nhưng không có view ban công đẹp. Máy lạnh bị trục trặc nhẹ. Giá đồ ăn thức uống hơi cao. Phục vụ dễ thương, nhiệt tình. Trang trí cũng khá đẹp. Vị trí gần lăng Bác thuận tiện tham quan.",travel,7.8,0,0,0,4,0,0
"Bánh tráng nướng ăn cũng được, nhưng bánh tráng trộn rất tệ xoài và bò khô chỉ cho có, rất vụn, bánh tráng không được ngon, nhân viên tệ quá ‍♂‍♂ nói chuyện như đuổi khách ấy chán thật.",foods,5.2,0,0,0,2,0,0
Kem TH thì khá là quen thuộc với mình. Kem thì vừa mịn vừa ngon lại còn thơm nữa. Giá cả thì vô cùng hợp lý chỉ 10 nghìn 1 cốc. Không gian thì sáng sủa thoáng mát. Nắng nóng vào đây ăn kem thì không có gì bằng vừa ăn kem ngon vừa ngồi điều hoà mát lạnh. Nhân viên phục vụ rất là nhiệt tình và thân thiện. Lúc trước mình đi có mấy chai sữa để chụp ảnh dễ thương khiếp mà dừ họ dọn đi rồi nhìn trống trống. Nói chung kem TH đúng là ngon bổ rẻ hợp tiêu chí của học sinh,shop,8.4,0,0,0,5,0,0
"Sườn ướp vừa miệng, thịt rất mềm, thơm. Ăn kèm trứng lòng đào tan chảy béo ngậy. Quán sạch sẽ, nhân viên phục vụ nhiệt tình dễ thương.",foods,9.8,0,0,0,5,0,0
"Kết thúc chuyến tham quan tai khu du lịch Cáp Treo Núi Cấm An Giang, mang lại nhiều trải nghiệm thú vị, cảnh quan vô cùng đặc sắc đậm chất miền tây,tuyệt vời, hẹn gặp hè năm sau",travel,9.0,4,0,0,0,0,0
"Vừa mua son cho bạn gái ở đây, thấy nhân viên tư vấn thật dễ thương!!!",beauty,10.0,0,0,0,0,0,5
"Bà Lụa có nhiều hòn đảo lớn nhỏ khác nhau, mỗi hòn thì cũng có vài hộ gia đình sống thôi chứ không nhiều. Thông thường thì ra đây đa số là đi theo tour cho tiết kiệm tiền tàu ra đảo vì đa phần là cano của dân trên đảo đưa rước khách du lịch ra đây. Mình cực kỳ thích sự yên bình ở đây, cách biệt hoàn toàn, gió thổi mát lồng lộng. Nằm đung đưa trên võng, úp nón lên mặt che bớt cái chói của nắng là đánh giấc ngủ ngon lành. Về cảnh đẹp thì Bà Lụa không đẹp bằng các bãi biển miền Trung như Đà Nẵng hay Bình Ba, nhưng đặc biệt ở chổ 3 cái đảo gần nhau, nước cao nhất chỉ tớ nhắn tin ụng, vả lại có khá nhiều loại sò ốc ở đây, có thể tự mò bắt được. Đồ ăn trên đảo thì độ tươi khỏi bàn cãi rồi, cá còn bơi bắt ra thịt. Lần đi này mình ở đảo của nhà a Tài, cách chế biến ngon, đồ tươi ăn thấy thích lắm.",travel,7.8,5,0,0,5,0,0
"Đường đến làng Cù Lần khá là xa, đi xe máy là ê hết cả mông luôn. Giá cả cũng khá đắt. Cả nhà mình đi xe JEp, 100k người khứ hồi, vé vào cổng 30 40k người. Đi xe gì Ep ở đây vui lắm, lội suối, vượt núi, nước bắn tung toé, cười la sảng khoái. Đến nơi thì nguyên 1 bãi cỏ rộng lớn, thấy 1 nhóm người đang chơi trò chơi tập thể, mình và các em chơi trò leo núi. Có tiệm bán đồ lưu niệm cũng thú vị, có nhà sàn, có xe kiểu cũ tha hồ chụp, có chuồng dê. Mình leo lên coi làng cù lần thì người ta nói cù lần bị du khách chọc nên chạy mất rồi... Ngày xưa mình từng được coi con cù lần rồi nên mới muốn các em cũng được coi, thế mà đã bị chọc chạy vào rừng",travel,6.6,3,0,0,0,0,0
"Tks cửa hàng nhiều, đồ boS đẹp mà giá cả hợp lí",service,10.0,0,0,0,0,0,5
Sẽ quay lại,service,10.0,0,0,0,0,0,0
"Đầu năm tổ chức kỷ niệm 10 năm cho công ty tại khách sạn DeawO. So với các chính sách đặt tiệc ở đây không được thoải mái và nhiều khuyến mại so với năm ngoái bên mình tổ chức bên Sheraton. Như phông sân khấu tính riêng với giá khá cao. Còn lại nhân viên phục vụ khá tốt, chuyên nghiệp, nhanh nhẹn... Hỗ trợ khá nhiệt tình hỗ trợ trong công tác chuẩn bị chương trình. Giá cả đồ uống theo set rượu vang khá hợp lý. Đồ ăn thì mình không thích món canh vịt lắm vì ăn hơi ngấy, cá ăn khá ngon, tôm to chắc thịt.... Mỗi tội món súp lơ thì luộc không ngon lắm vì chấm cái gì cũng không thấy hợp với tổng thể menu.",travel,7.8,0,0,0,3,0,0
"Thịt ngon lắm,. ủng hộ.",shop,10.0,0,0,0,5,0,0
"Nhà hàng này chắc chỉ hợp ăn sang sang hoặc họp nhóm gì đó thôi. Không gian thì siêu đẹp, vì có cái hồ mà, đêm đến cũng gọi là nung ninh . Tiếc là hôm mình đến đã đặt trước nhưng mà không được ngồi cái nhà hàng cạnh hồ vì Khu ấy tổ chức tiệc trung thu trong đó. Nhân viên phục vụ ngoan, đúng chuẩn nhà hàng, ăn cơm bữa đó có 1 em phục vụ riêng trong nhà tròn cạnh hồ luôn, như kiểu ăn khách sạn Nói chung là đắt nhưng đồ ăn chất lượng, có cái là cái món salad chưa pro lắm. star Bê tái chanh 1 đĩa giá như này nhưng ăn cũng ngon lắm, thịt bê dai, chua ngọt vừa đủ nên ăn cảm giác rất sướng miệng. star Hàu nướng mỡ hành thì tươi, ăn thơm. star Ngao nấu chua thì đúng là chua thật, ăn với cơm rất hợp, chén no cả bụng. Kết 2 người ăn tầm này no là tạm ổn, giá hơi cao chắc do phần hàu nướng mỡ hành, bớt đi là thấy đỡ ngay. Bữa nào quay lại uống cafe cạnh hồ cũng đẹp",wedding,7.4,0,0,0,4,0,0
"Mình và cả đoàn đi ăn ở đây. Đồ ăn khá đa dạng nhưng không quá nhiều. Vị khá ngon nhất là món nướng Đồ uống chưa đa dạng vì chỉ có trà đá và nước cam Không gian thì tuyệt vời, thoáng và nhìn được 1 phần cảnh thành phố Phục vụ thì tạm được, không quá tốt hay quá dở Giá thành thì ổn với buFet hải sản",wedding,7.2,0,0,0,4,0,0
"Cuối tuần mình đi cần giờ nghe nhiều người review nhà nghỉ thái dương không tốt nên mình quyết định đặt phòng ở cần giờ resort nhưng cuối cùng mình lại nghỉ lại ở thái dương, nhận xét của mình bên cần giờ resort không bằng thái dương, nhân viên ở thái dương rất dễ thương và vui vẻ nữa, nếu có đi lần sau nhất định sẽ tiếp tục ủng hộ chỗ này. giá phòng 2 người 700.000",travel,9.0,0,5,0,0,0,0
Vui lòng cung cấp thực đơn,foods,5.0,0,0,0,0,0,0
"Khách tới tấp luôn, ai muốn đẹp lung linh như vậy đi dự tiệc hay làm cô dâu thì đến với c Lan Nguyễn nha",wedding,8.6,0,0,5,0,0,0
"Shop thân thiện, đồ s yêu xinh, s yêu xịn",service,10.0,0,0,0,0,0,5
"Trà sữa toco toco đây! không phải lần đầu, lần nào cũng thế chả hiểu sao không đầy cốc, toco toco trả lời hộ cái",foods,1.0,0,0,0,0,0,0
Cách khách sạn mình ở chỉ 15p chạy xe máy nhưng vì mình muốn đi cả thánh địa Mỹ Sơn rồi về hội An ở trong đó 1 đêm nên mới chỉ tham quan được động âm phủ thôi. Mà giá vé ở đây không hiểu kiểu gì lúc mình mua họ kêu 15k nhưng không lên được đến chùa muốn lêb được đến tận chùa thì phải mất thêm 15k nữa . . Nhưng vì thời gian có hạn nên mình chỉ đi mỗi động âm phủ rồi đi ra để kịp thời gian chạy Mỹ Sơn định bụng lúc quay về sẽ ghé thăm lại nhưng mệt quá chả lết nổi. Thôi coi như có lý do lần sau còn quay lại Đà Nẵng chứ chơi hết rồi sau quay lại chỉ tắm biển thì chán lém,travel,7.4,4,0,0,0,0,0
"Lần đầu tiên biết được thế nào là nhân viên quán không có bổn phận phục vụ khách. Sau khi chửi khách xong lại quay ra ngồi nói chuyện với 1 bà cô khác và kêu người khách đáng tuổi cha chú mình bằng nó, giọng thì khó chịu, kênh kiệu. Nếu chủ quán mướn nhân viên mà không thể phục vụ khách thì đừng mở quán và cũng đừng đón khách, chứ làm ăn kiểu vậy thấy vô văn hoá quá.",foods,1.0,0,0,0,1,0,0
"Là 1 trong số những bãi tắm đẹp, nơi ngắm hoàng hôn xuống biển đẹp ở quần đảo nam du này. năm ngay trên đảo nên không tốn nhiều công lắm, chỉ cần thuê xe chạy vòng vòng quanh đảo là tới thôi. Cảnh đẹp, chỗ này có dặng dừa siêu đẹp luôn và cũng có nhiều cặp đôi ghé đây chụp hình cưới lắm. Có bãi cát để tắm biển, có bãi đá để chụp hình rự sướng luôn nhé. Nhìn từ trên cao xuống thì biển này không có gì để chê hết. Ngoài các quầy bán đồ uống thì có cả bán hải sản nữa, đồ ăn ở đây cũng rẻ chứ không mắc, mình tu 1 trái dừa có 20k à.",travel,8.0,5,0,0,5,0,0
"Quán xinh xắn. Nhân viên dễ thương, tận tình. Đồ ăn đẹp mắt và ngon miệng mà giá còn rẻ nửa.",travel,9.8,0,0,5,5,0,0
Ở đây giặt giày ok lắm nè,service,9.0,0,0,0,0,0,0
